Monday_Date,Monday_Open,Friday_Close,Weekly_Sentiment,RF_Prediction,Weekly_Volatility,Trend
24-10-2022,147.1900024,155.7400055,0,153.5788042,1.415052393,Bearish
31-10-2022,153.1600037,138.3800049,0,139.477204,0.694760598,Bullish
07-11-2022,137.1100006,149.699997,0,145.8707967,6.538956529,Bullish
14-11-2022,148.9700012,151.2899933,0,150.9272942,1.007483705,Bearish
21-11-2022,150.1600037,148.1100006,0,148.9740005,0.436752113,Bearish
28-11-2022,145.1399994,147.8099976,0,146.5871977,2.045384778,Bearish
05-12-2022,147.7700043,142.1600037,0,141.9772025,1.804313282,Bearish
12-12-2022,142.699997,134.5099945,0,136.0285963,2.370576404,Bearish
19-12-2022,135.1100006,131.8600006,0,132.4265002,2.434715984,Bullish
09-01-2023,130.4700012,134.7599945,0,134.1020964,1.071612735,Bullish
23-01-2023,138.1199951,145.9299927,0,145.1124959,0.964521584,Bullish
30-01-2023,144.9600067,154.5,0,152.7062004,1.701464671,Bearish
06-02-2023,152.5700073,151.0099945,0,151.5447948,0.650564431,Bullish
13-02-2023,150.949997,152.5500031,0,152.867803,1.205208996,Bearish
27-02-2023,147.7100067,151.0299988,0,149.4851996,0.928920549,Bearish
06-03-2023,153.7899933,148.5,0,149.6278989,1.106023518,Bullish
13-03-2023,147.8099976,155,0,154.9319017,0.799385998,Bullish
20-03-2023,155.0700073,160.25,0,159.6836995,0.715290772,Bullish
27-03-2023,159.9400024,164.8999939,0,163.6293951,0.472146279,Bullish
10-04-2023,161.4199982,165.2100067,0,164.2419055,2.348424767,Bearish
17-04-2023,165.0899963,165.0200043,0,165.6691032,0.769908519,Bullish
24-04-2023,165,169.6799927,0,167.9646947,1.900581502,Bullish
01-05-2023,169.2799988,173.5700073,0,171.5675035,0.209982544,Bearish
08-05-2023,172.4799957,172.5700073,0,172.7188054,0.427833814,Bullish
15-05-2023,173.1600037,175.1600037,0,174.6363037,0.679063426,Bullish
22-05-2023,173.9799957,175.4299927,0,174.4609944,0.631993041,Bullish
05-06-2023,182.6300049,180.9600067,0,180.5314069,1.264427582,Bullish
12-06-2023,181.2700043,184.9199982,0,185.0648973,0.596099809,Bullish
26-06-2023,186.8300018,193.9700012,0,192.5995001,0.444090518,Bearish
03-07-2023,193.7799988,190.6799927,0,191.0401945,0.418997133,Bullish
10-07-2023,189.2599945,190.6900024,0,190.4512007,0.234382266,Bullish
17-07-2023,191.8999939,191.9400024,0,192.6500029,0.881950355,Bullish
24-07-2023,193.4100037,195.8300018,0,195.1803008,0.657618448,Bearish
31-07-2023,196.0599976,181.9900055,0,184.9024036,0.36091897,Bearish
07-08-2023,182.1300049,177.7899933,0,177.9095958,0.340085687,Bearish
14-08-2023,177.9700012,174.4900055,0,174.5366043,0.481028635,Bullish
21-08-2023,175.0700073,178.6100006,0,178.3886002,2.585637787,Bullish
28-08-2023,180.0899963,189.4600067,0,188.9835033,1.124486818,Bearish
11-09-2023,180.0700073,175.0099945,0,175.1369977,1.340803251,Bearish
18-09-2023,176.4799957,174.7899933,0,175.5795964,0.524806993,Bearish
25-09-2023,174.199997,171.2100067,0,171.0332045,0.9559495,Bullish
02-10-2023,171.2200012,177.4900055,0,176.1774031,0.332116417,Bullish
09-10-2023,176.8099976,178.8500061,0,179.2661058,0.196074465,Bearish
16-10-2023,176.75,172.8800049,0,173.6662044,0.34158773,Bearish
23-10-2023,170.9100037,168.2200012,0,168.4191011,1.038433392,Bullish
30-10-2023,169.0200043,176.6499939,0,176.5047975,0.442806488,Bullish
06-11-2023,176.3800049,186.3999939,0,185.2657965,0.693039261,Bullish
13-11-2023,185.8200073,189.6900024,-0.18742186,189.5768028,0.264780105,Bullish
20-11-2023,189.8899994,189.9700012,-0.111770755,190.2916003,0.387265671,Bullish
27-11-2023,189.9199982,191.2400055,-0.014803505,190.9211023,0.397932276,Bullish
04-12-2023,189.9799957,195.7100067,0.018979024,195.0329062,0.69165735,Bullish
11-12-2023,193.1100006,197.5700073,0.463500971,197.6836058,0.810024037,Bearish
18-12-2023,196.0899963,193.6000061,0.176643703,194.1964041,0.434589535,Bearish
08-01-2024,182.0899963,185.9199982,0.87116797,185.8227982,0.418597786,Bullish
22-01-2024,192.3000031,192.4199982,-0.146951099,193.0546979,0.179906399,Bearish
29-01-2024,192.0099945,185.8500061,-0.519418304,185.7001033,1.931984165,Bullish
05-02-2024,188.1499939,188.8500061,-0.294614454,188.9600055,0.561330036,Bearish
12-02-2024,188.4199982,182.3099976,0.695326843,182.7884978,0.321353786,Bearish
26-02-2024,182.2400055,179.6600037,-0.014498093,180.3130031,0.258471264,Bearish
04-03-2024,176.1499939,170.7299957,-0.175681477,170.2502965,0.756513733,Bullish
11-03-2024,172.9400024,172.6199951,-1.045638447,172.5799963,1.156240133,Bearish
18-03-2024,175.5700073,172.2799988,-0.120403342,173.3324989,3.263154954,Bearish
01-04-2024,171.1900024,169.5800018,-0.102565892,169.4934007,0.436695962,Bullish
08-04-2024,169.0299988,176.5500031,-0.569594054,174.6313014,2.888401077,Bearish
15-04-2024,175.3600006,165,-0.180342904,165.6725986,0.364463367,Bullish
22-04-2024,165.5200043,169.3000031,0.224332851,169.3417023,0.364735182,Bullish
29-04-2024,173.3699951,183.3800049,-0.120739634,179.5490041,1.945672335,Bearish
06-05-2024,182.3500061,183.0500031,-0.478577088,183.2610037,0.444967232,Bullish
13-05-2024,185.4400024,189.8699951,0.663346167,189.849296,0.591522239,Bullish
20-05-2024,189.3300018,189.9799957,0.57980254,190.0075981,1.110949728,Bullish
03-06-2024,192.8999939,196.8899994,-0.377142885,196.4373985,0.777598814,Bullish
10-06-2024,196.8999939,212.4900055,-0.579602429,212.561105,2.254991325,Bearish
17-06-2024,213.3699951,207.4900055,-0.435660485,208.7417012,0.526419763,Bullish
24-06-2024,207.7200012,210.6199951,0.32418652,211.4605978,0.760777478,Bullish
01-07-2024,212.0899963,226.3399963,-0.568298364,224.6473987,0.521443694,Bullish
08-07-2024,227.0899963,230.5399933,0.304830684,230.1794949,2.219477878,Bearish
15-07-2024,236.4799957,224.3099976,0.156854684,225.0392975,0.480896848,Bearish
22-07-2024,227.0099945,217.9600067,-0.380680521,218.0266055,1.055926741,Bullish
29-07-2024,216.9600067,219.8600006,-0.378016427,219.8322009,1.664011103,Bearish
05-08-2024,199.0899963,216.2400055,0.229661022,215.0683035,0.692834067,Bullish
12-08-2024,216.0700073,226.0500031,0.823956779,225.4543025,0.511140025,Bullish
19-08-2024,225.7200012,226.8399963,0.607924215,226.3845966,0.5351414,Bullish
26-08-2024,226.7599945,229,0.110337258,228.7802997,1.09454569,Bearish
09-09-2024,220.8200073,222.5,-0.453694236,222.5451012,0.490359596,Bullish
16-09-2024,216.5399933,228.199997,0.716719025,227.7046967,1.491580533,Bearish
23-09-2024,227.3399963,227.7899933,-0.080816316,227.4896939,0.445471203,Bearish
30-09-2024,230.0399933,226.8000031,0.078027327,226.5998018,0.551144648,Bullish
07-10-2024,224.5,227.5500031,0.0733303,228.0321002,1.154773851,Bullish
14-10-2024,228.699997,235,-0.128414654,234.219299,0.462453524,Bearish
21-10-2024,234.449997,231.4100037,0.347836723,231.398903,0.978934612,Bearish
28-10-2024,233.3200073,222.9100037,-0.134479319,224.1447037,0.504719473,Bullish
04-11-2024,220.9900055,226.9600067,0.460194105,226.601804,1.290009848,Bearish
