Monday_Date,Monday_Open,Friday_Close,Weekly_Sentiment,RF_Prediction,Weekly_Volatility,Trend
04-12-2023,317.2900085,332.75,0.032377714,328.9118024,1.919899808,Bullish
11-12-2023,329.3999939,334.9200134,-0.088026658,334.6637097,0.886593813,Bullish
18-12-2023,337.480011,353.3900147,0.620640431,353.2082095,0.766863198,Bullish
08-01-2024,354.7000122,374.4899902,-0.088738033,372.9113956,1.81468253,Bullish
22-01-2024,387.9500122,394.1400147,0.183123863,393.5036102,0.39651289,Bullish
29-01-2024,394.9899902,474.9899902,0.108975038,452.1642929,1.848960108,Bearish
05-02-2024,469.8800049,468.1099854,0.561829312,466.6429895,1.410136079,Bullish
12-02-2024,468.1900024,473.3200073,-0.249279572,471.6680042,0.878523444,Bullish
26-02-2024,483.4700012,502.2999878,0.065876285,498.3116913,0.887028989,Bullish
04-03-2024,503,505.9500122,0.323308892,502.7803088,1.865391547,Bearish
11-03-2024,497.0100098,484.1000061,0.320120053,486.7619022,0.902297221,Bullish
18-03-2024,491.9100037,509.5799866,-0.420021995,508.3641913,0.628190998,Bullish
01-04-2024,487.2000122,527.3400269,-0.086292768,522.2856213,0.53317697,Bearish
08-04-2024,529.2800293,511.8999939,0.009338668,514.2023978,0.259043301,Bearish
15-04-2024,516.7199707,481.0700073,-0.289392406,486.0278079,1.39791731,Bearish
22-04-2024,489.7200012,443.2900085,-0.068454087,454.6705075,6.752729461,Bullish
29-04-2024,439.5599976,451.9599915,-0.701480612,447.4791953,0.669691414,Bullish
06-05-2024,455.5799866,476.2000122,-0.502882713,475.6918118,0.152844298,Bearish
13-05-2024,472.75,471.9100037,-0.000377622,472.335105,2.012249891,Bullish
20-05-2024,469.9500122,478.2200012,0.567341812,474.7719009,0.486330296,Bullish
03-06-2024,470.8599854,492.9599915,-0.040940108,492.5991953,1.931067912,Bullish
10-06-2024,493.8599854,504.1600037,-0.286129118,505.2591022,0.873883577,Bearish
17-06-2024,501.6700134,494.7799988,0.009299902,496.7791998,0.925885553,Bullish
24-06-2024,499.2000122,504.2200012,0.053625065,508.2178,0.364775675,Bullish
01-07-2024,504.9500122,539.9099731,0.109929641,529.6901801,0.432387064,Bearish
08-07-2024,542.3499756,498.8699951,0.453149617,506.6220978,2.804462674,Bearish
15-07-2024,498.6300049,476.7900085,-0.146022101,475.1314063,4.442792694,Bearish
22-07-2024,486.5799866,465.7000122,0.187961016,464.3313095,1.711002059,Bullish
29-07-2024,469.8800049,488.1400147,-0.112239342,488.7383081,2.079033205,Bullish
05-08-2024,451.3500061,517.7700195,0.261324074,513.752616,2.53519454,Bullish
12-08-2024,516.8599854,527.4199829,0.276596873,529.4482922,1.061936603,Bullish
19-08-2024,526.8699951,528,-0.75656088,528.9694958,1.041647964,Bearish
26-08-2024,527.5999756,521.3099976,0.639049796,520.3202972,0.416831002,Bullish
09-09-2024,506.1600037,524.6199951,0.2502448,522.3458926,1.068662856,Bullish
16-09-2024,524.539978,561.3499756,0.108182212,558.5824792,2.089919366,Bullish
23-09-2024,569.5,567.3599854,-0.420653614,567.0359943,0.444508129,Bullish
30-09-2024,567.7000122,595.9400024,-0.320986312,590.3483014,1.204247831,Bearish
07-10-2024,598.2199707,589.9500122,0.045242741,589.186413,0.787652433,Bearish
14-10-2024,594.2199707,576.4699707,-0.253205467,576.965777,0.833645325,Bearish
21-10-2024,576.0300293,573.25,-0.056059025,574.2038037,1.777732604,Bearish
28-10-2024,582,567.1599731,-0.033973305,573.5439844,2.935961585,Bullish
04-11-2024,564.0999756,589.3400269,-0.160575586,585.1385168,1.762715777,Bearish
